,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,Netherlands,73.2,67.5,66.0,67.1,54.1,50.1,49.6,48.3,45.6,43.6,38.5,39.6,38.8,33.9,33.8,36.7,36.9,35.8,39.3,38.1,35.0
35,New Zealand,119.8,117.3,102.6,114.5,106.4,98.0,93.9,99.7,85.9,89.2,86.2,64.8,69.9,57.0,64.7,68.8,69.4,78.5,77.1,70.3,62.5
36,North Macedonia,79.6,52.4,85.9,57.5,75.4,69.4,67.9,83.8,78.4,77.3,78.2,83.0,63.6,95.4,62.6,71.2,79.3,74.4,63.9,63.4,60.0
37,Norway,75.9,60.9,68.3,61.3,56.0,48.5,51.9,49.5,53.5,43.9,42.5,33.9,28.9,36.8,28.6,22.5,25.8,20.1,20.3,20.2,17.3
38,Poland,164.5,144.7,152.4,147.6,149.6,142.6,137.5,146.5,142.6,119.8,102.7,110.1,94.0,88.2,84.2,77.3,79.7,74.5,75.4,76.6,65.6
39,Portugal,180.5,161.3,160.8,147.8,123.4,118.7,92.1,92.4,83.8,69.7,88.6,84.4,68.3,60.9,61.3,57.3,54.5,58.4,65.6,60.9,..
40,Romania,111.3,111.2,110.4,103.6,112.7,123.9,122.1,134.1,149.2,137.3,117.4,100.2,101.8,93.1,91.3,95.5,97.1,99.6,95.9,96.2,..
41,Russian Federation,201.9,211.8,228.8,246.1,239.5,236.6,228.8,233.2,209.7,193.7,186.0,195.5,195.5,188.3,187.4,160.4,140.7,132.1,126.1,117.6,112.1
42,"Serbia, Republic of",139.4,169.7,113.0,114.7,127.7,113.0,121.4,130.3,122.0,110.4,90.0,100.6,95.0,90.2,75.2,84.7,85.9,82.3,77.6,76.5,71.2
43,Slovak Republic,120.3,116.2,116.4,121.5,113.2,111.7,113.2,123.0,112.7,71.3,65.5,60.2,65.1,46.4,54.4,57.2,50.6,50.7,47.7,49.5,45.2
44,Slovenia,157.4,139.6,134.4,121.3,137.2,129.0,130.6,145.2,105.9,83.8,67.4,68.7,63.2,60.7,52.4,58.2,63.0,50.3,43.9,48.8,38.1
45,Spain,142.4,135.1,129.1,128.0,110.5,101.8,92.4,84.5,67.5,58.5,53.2,44.1,40.7,36.0,36.3,36.4,38.9,39.3,38.6,37.2,..
46,Sweden,66.6,65.5,62.7,59.1,53.4,48.7,49.0,51.5,43.1,38.5,(B) 28.4,33.8,29.9,27.1,27.8,26.4,27.2,25.1,31.8,21.5,19.7
47,Switzerland,82.4,75.2,70.4,74.4,69.0,55.0,49.4,50.9,46.7,45.1,41.8,40.4,42.4,33.3,29.7,30.5,25.8,27.2,27.4,21.8,26.3
48,Turkey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.9,91.4,91.6,81.1,65.6,57.7
49,Ukraine,105.4,123.0,124.1,149.5,146.8,153.5,162.3,205.9,166.8,116.1,106.3,107.4,112.5,106.2,(B) 98.1,88.7,75.8,76.6,..,..,..
50,United Kingdom,60.8,60.9,60.3,61.3,56.1,55.2,54.2,49.9,42.8,37.5,30.4,31.0,28.3,27.6,28.7,27.7,28.3,28.1,27.7,27.1,(P) 22.7
51,United States,148.7,148.1,149.5,147.8,146.3,147.2,143.1,137.0,123.1,110.5,106.7,104.2,106.9,103.5,102.6,110.6,116.0,115.3,111.9,109.9,(E) 117.4
