,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,21,9,14,30,6,..,(E) 6,..,6
1,Bulgaria,5,(P) 24,(P) 4,3,4,6,2,..,..
2,Croatia,4,3,1,1,..,..,..,..,..
3,Estonia,..,..,(M) ..,(M) ..,..,..,..,..,..
4,Finland,..,..,(M) ..,..,..,..,..,..,..
5,Hungary,..,574,..,55,36,57,6,44,..
6,Kazakhstan,..,13,8,1,22,1,47,272,1 021
7,Lithuania,0,0,0,0,0,0,0,0,0
8,Poland,2,3,3,3,8,20,3,..,..
