,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Denmark,585 875 661,647 728 188,674 113 451,703 702 208,736 703 450,767 341 680,705 312 973,728 512 375,715 665 236,866 336 301,1 057 981 523,880 856 832,944 544 453,920 098 151,795 852 392,807 792 347,919 762 538,1 117 533 978,1 151 451 725,..,..
11,Estonia,14 000 000,15 000 000,16 000 000,21 000 000,23 000 000,25 000 000,28 000 000,32 000 000,38 000 000,39 000 000,38 000 000,39 000 000,44 300 000,47 200 000,46 300 000,47 500 000,43 600 000,42 000 000,39 000 000,43 000 000,43 000 000
12,Finland,534 000 000,543 000 000,634 000 000,627 000 000,587 000 000,600 000 000,612 000 000,611 000 000,673 000 000,684 000 000,667 000 000,658 000 000,525 000 000,511 000 000,506 000 000,508 900 000,544 000 000,548 500 000,543 000 000,494 000 000,674 000 000
13,France,228 000 000,221 000 000,233 000 000,239 000 000,239 000 000,(B) 2 189 000 000,2 235 000 000,2 294 000 000,2 286 000 000,2 601 000 000,2 431 000 000,2 746 000 000,2 851 000 000,2 904 000 000,2 760 000 000,2 598 230 000,2 430 850 000,2 369 230 000,2 370 650 000,2 327 010 000,(P) 2 194 150 000
14,Georgia,8 222 783,9 158 496,7 721 635,6 597 122,6 296 436,6 202 924,9 857 072,11 381 544,11 862 937,11 080 769,9 357 234,13 389 050,15 070 880,14 062 853,15 624 920,15 460 471,17 841 469,30 325 470,30 289 845,25 080 752,..
15,Hungary,106 752 616,..,..,..,(E) 254 437 858,(E) 283 406 163,1 255 479 731,1 366 964 384,444 228 611,453 960 552,(E) 328 639 180,256 474 885,295 796 204,370 188 266,272 792 913,282 235 255,292 602 581,369 402 388,379 716 515,375 727 022,387 119 648
16,Iceland,24 639 056,23 235 780,24 015 537,25 922 800,26 469 080,33 548 813,32 283 484,35 516 848,52 616 079,30 022 457,28 853 328,28 979 457,29 746 314,27 800 233,32 285 309,43 390 381,45 396 545,68 009 710,83 480 691,71 110 230,67 683 997
17,India,..,..,..,..,2 379 359 311,3 773 575 886,5 155 803 010,5 381 615 838,5 296 159 315,6 254 548 450,9 380 190 058,9 299 044 764,7 763 576 019,7 040 892 842,7 232 097 268,7 488 777 127,..,..,..,..,..
18,Ireland,105 000 000,132 000 000,141 000 000,144 000 000,148 000 000,156 000 000,176 000 000,184 000 000,193 000 000,170 000 000,165 000 000,159 000 000,139 000 000,128 000 000,85 000 000,82 000 000,83 000 000,81 000 000,88 000 000,75 000 000,..
19,Italy,9 720 000 000,5 506 000 000,5 896 000 000,11 596 000 000,11 241 000 000,(B) 12 549 000 000,13 452 000 000,9 764 000 000,10 756 000 000,6 008 000 000,6 437 000 000,6 220 000 000,7 196 000 000,9 134 000 000,9 564 000 000,9 066 000 000,8 446 000 000,8 803 000 000,7 352 000 000,6 813 000 000,..
20,Japan,22 283 760 217,19 840 516 920,17 768 892 601,15 466 361 780,14 624 128 802,14 014 343 818,11 778 583 591,11 373 301 294,10 878 548 197,13 529 011 467,13 962 828 222,15 681 455 308,17 611 048 245,16 256 879 830,14 088 902 215,14 437 402 241,16 924 776 117,17 221 813 044,16 478 060 928,21 665 777 072,..
21,Korea,..,1 412 149 494,1 443 320 193,1 664 408 273,1 146 714 287,1 353 275 368,(B) 1 783 381 284,1 525 932 034,1 585 724 835,1 402 354 401,1 444 458 295,1 499 532 730,1 605 094 349,1 664 848 921,1 648 001 111,2 207 015 180,1 932 782 314,2 217 941 277,2 193 694 735,2 472 508 138,..
22,Latvia,29 000 000,25 000 000,25 000 000,(B) 50 000 000,61 000 000,70 000 000,113 000 000,202 000 000,231 000 000,131 000 000,113 000 000,126 000 000,120 000 000,133 000 000,154 000 000,173 000 000,177 000 000,179 000 000,202 000 000,180 000 000,259 000 000
23,Lithuania,61 000 000,74 000 000,107 000 000,122 000 000,122 000 000,125 000 000,161 000 000,125 000 000,134 000 000,125 000 000,160 000 000,153 000 000,123 000 000,127 000 000,143 000 000,159 000 000,152 000 000,151 000 000,144 000 000,147 000 000,140 000 000
24,Luxembourg,25 765 679,30 853 951,33 120 349,43 127 097,32 047 956,34 905 083,24 226 070,23 060 201,26 752 215,29 624 634,33 780 303,36 920 161,33 700 351,36 529 441,35 183 325,34 742 273,45 629 575,53 994 598,66 938 483,39 770 487,39 089 271
25,Malta,12 093 053,10 319 836,8 809 724,13 281 917,5 992 085,7 309 527,6 197 517,12 513 432,1 142 863,24 808 399,24 893 594,27 148 885,24 241 956,24 938 965,17 228 890,..,..,..,..,..,..
26,Mexico,473 604 116,511 143 013,565 566 818,395 808 129,376 544 796,477 888 731,471 677 563,464 546 612,(B) 691 736 946,671 340 881,801 835 813,821 508 740,823 728 027,1 098 091 965,1 125 854 881,1 090 972 445,1 093 918 585,736 045 469,801 751 822,1 279 297 031,808 152 601
27,Moldova,6 613 699,6 162 980,8 181 266,7 616 098,10 170 155,8 353 953,11 035 787,11 257 262,18 128 510,17 295 455,37 007 231,36 434 446,55 120 488,63 987 179,72 023 589,41 398 542,25 629 859,29 268 386,48 724 202,34 106 100,51 938 848
28,Netherlands,524 000 000,549 000 000,639 000 000,587 000 000,611 000 000,725 000 000,1 040 000 000,1 091 000 000,1 231 000 000,827 000 000,1 209 000 000,323 000 000,..,..,..,..,..,..,..,..,..
29,New Zealand,326 232 217,340 018 329,368 680 430,414 752 797,480 703 518,565 924 628,539 509 702,612 197 111,576 388 463,603 995 390,746 644 260,843 808 285,995 168 835,887 540 613,928 088 558,949 898 289,898 642 899,993 351 189,1 062 923 550,1 091 764 097,1 050 506 246
30,Norway,553 261 767,(B) 608 157 636,937 936 912,843 052 691,906 365 341,991 900 560,1 054 273 393,1 109 212 676,1 148 599 358,1 220 557 236,1 361 104 172,1 615 361 913,1 746 639 021,1 840 975 772,1 990 042 010,1 948 287 238,..,..,..,..,..
31,Poland,(B) 448 625 181,665 831 541,791 488 257,720 733 010,1 054 013 503,1 263 610 600,1 670 303 715,1 515 423 859,2 003 925 920,2 339 830 939,2 636 295 369,2 679 486 246,428 028 583,438 159 682,383 080 416,415 511 141,418 690 989,516 645 913,464 723 278,480 977 312,503 691 033
32,Portugal,128 000 000,229 000 000,181 000 000,221 000 000,233 000 000,177 000 000,203 000 000,192 000 000,141 000 000,(B) 124 000 000,102 000 000,..,165 000 000,174 000 000,..,..,..,..,..,..,..
33,Romania,..,341 407 151,234 575 013,267 930 860,379 272 054,425 408 569,1 041 028 260,1 335 570 269,..,..,..,..,..,..,..,..,..,..,..,..,..
34,"Serbia, Republic of",(B) 24 668 688,61 316 350,106 860 845,99 961 742,183 713 797,259 379 901,259 786 409,300 504 384,330 807 743,258 514 602,229 483 642,205 478 780,208 944 019,129 044 798,142 903 798,163 039 831,180 732 525,202 520 159,298 119 205,(P) 342 917 033,..
35,Slovak Republic,67 000 000,68 000 000,69 000 000,72 000 000,82 000 000,100 000 000,130 000 000,156 000 000,161 000 000,192 000 000,175 000 000,157 000 000,193 000 000,204 000 000,181 000 000,201 025 000,215 000 000,230 000 000,295 700 000,..,231 600 000
36,Slovenia,79 000 000,66 000 000,68 000 000,75 000 000,77 000 000,99 000 000,140 000 000,139 000 000,148 000 000,151 000 000,137 000 000,122 000 000,120 000 000,123 000 000,113 000 000,(B) 100 000 000,104 000 000,117 000 000,115 000 000,122 000 000,139 000 000
37,Sweden,747 108 064,754 994 220,805 000 546,755 994 915,758 356 164,787 707 029,809 440 956,836 134 499,858 488 702,786 789 841,873 791 493,856 484 558,958 801 842,1 043 639 096,1 017 489 474,(B) 1 183 601 475,1 129 994 824,1 034 876 361,1 033 080 815,999 839 421,1 027 545 504
38,Switzerland,765 230 789,1 410 222 458,1 452 426 390,1 492 733 610,1 475 940 677,1 520 377 188,1 533 913 928,1 409 873 988,1 611 114 612,1 817 338 897,1 998 263 638,2 235 008 104,2 413 507 011,2 402 307 255,2 420 549 975,2 761 333 833,2 699 504 678,2 708 708 168,2 593 298 121,2 338 456 008,..
39,Turkey,113 063 141,103 448 276,65 450 494,98 426 357,70 957 932,88 812 064,157 166 574,278 182 022,308 829 698,410 673 820,359 985 981,674 518 201,699 935 191,630 107 782,557 963 536,239 261 367,230 053 550,229 291 018,..,..,..
40,United Kingdom,5 118 949 959,(B) 5 150 345 715,5 163 804 071,4 833 068 362,(B) 5 450 928 382,5 661 646 440,5 856 556 175,5 636 560 555,5 008 114 438,4 336 387 814,3 917 271 032,3 444 324 729,3 450 578 227,3 145 366 227,2 881 340 526,3 164 292 011,2 505 871 291,2 018 065 289,2 331 094 033,2 311 819 218,..
41,United States,25 946 969 697,26 548 682 448,26 366 811 303,22 827 836 237,21 047 213 062,23 555 591 260,25 001 990 921,22 511 308 916,22 645 178 839,23 112 753 894,29 785 197 468,29 892 218 150,33 972 464 219,34 207 950 610,35 252 107 164,39 639 509 733,48 263 148 382,..,..,..,..
