,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,Norway,412.4,415.0,418.7,423.7,430.8,438.9,447.4,457.6,460.8,464.7,472.2,479.8,486.8,492.2,497.4,503.1,508.7,515.3,518.1,523.8,522.4
37,Poland,261.1,274.6,288.5,294.3,313.6,323.3,350.9,382.7,421.7,432.3,453.1,476.2,492.4,509.7,526.3,545.5,570.8,592.6,617.0,641.6,..
38,Portugal,324.2,335.6,347.4,352.1,363.7,386.6,392.1,399.5,401.5,405.6,406.8,..,409.9,410.6,414.6,419.6,426.6,456.3,..,..,..
39,Romania,123.8,130.2,136.8,143.1,150.4,157.8,152.0,170.2,196.1,208.4,213.4,215.1,223.7,235.0,246.5,260.2,277.8,306.2,331.3,356.3,..
40,Russian Federation,..,..,..,..,..,..,..,..,..,..,240.5,254.7,270.9,288.7,301.9,307.1,..,324.5,328.3,..,..
41,"Serbia, Republic of",..,..,..,..,..,..,..,..,..,..,214.7,231.9,239.8,247.1,252.0,258.4,269.9,280.4,286.4,298.7,..
42,Slovak Republic,236.5,240.4,246.8,252.4,222.8,242.6,248.2,266.8,287.2,295.0,309.6,324.0,337.3,347.3,359.7,375.1,390.7,408.7,426.2,438.9,..
43,Slovenia,426.4,436.2,443.7,450.5,458.2,469.4,484.3,485.6,501.7,512.3,520.2,520.5,521.9,520.9,519.6,521.9,526.7,535.1,544.0,552.6,554.9
44,Spain,430.1,444.3,452.1,443.0,455.3,463.9,474.2,481.1,481.9,474.2,475.5,476.6,475.7,472.4,474.0,481.3,492.1,504.4,514.4,521.0,..
45,Sweden,438.5,449.5,450.3,451.5,453.1,455.8,457.5,459.3,461.8,460.1,458.6,458.8,467.2,468.2,473.0,476.5,480.5,481.8,478.7,475.5,477.5
46,Switzerland,493.4,502.1,508.0,511.5,515.7,519.6,521.1,523.9,521.7,517.8,520.9,526.1,532.0,534.1,535.4,538.3,540.3,540.8,540.6,539.2,539.4
47,Turkey,69.9,70.6,70.6,71.1,80.6,85.0,89.3,93.0,96.5,99.5,104.3,110.5,115.9,122.3,127.6,134.8,141.8,148.4,150.6,149.9,..
48,United Kingdom,426.0,437.0,446.6,452.8,463.8,469.3,470.5,470.3,469.5,467.4,466.6,463.8,464.7,468.3,472.3,478.7,484.6,486.8,488.9,..,..
49,United States,453.4,452.8,453.2,453.9,455.6,457.9,459.3,457.9,457.2,447.3,437.4,407.5,404.9,407.9,411.9,415.3,417.3,408.7,406.4,395.9,..
