,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30,Mexico,342.4,315.2,316.7,341.9,324.9,(B) 294.3,282.5,284.6,272.0,312.0,282.7,259.7,260.4,245.7,243.2,280.2,310.8,294.6,284.2,273.4,302.3
31,Moldova,1 970.7,2 036.6,2 326.5,2 251.4,(B) 1 974.2,1 802.0,1 826.2,1 326.0,964.5,693.6,601.0,569.7,564.3,595.0,577.2,668.8,679.3,620.0,550.1,543.6,516.3
32,"Montenegro, Republic of",..,111.2,106.5,73.8,76.1,85.9,93.6,75.2,70.3,67.1,76.8,52.4,36.5,38.5,(B) 47.0,62.1,53.2,56.0,..,..,..
33,Netherlands,228.0,219.6,195.6,164.9,155.4,147.7,138.0,121.1,109.8,106.4,116.4,109.7,116.5,116.4,115.1,135.4,133.2,124.8,111.8,115.0,110.6
34,New Zealand,(E) 316.2,(B) 400.9,347.2,265.3,237.9,(B) 214.6,219.7,183.4,201.1,187.6,171.9,153.0,150.6,138.8,141.9,158.3,151.5,145.0,146.9,148.9,(P) 150.0
35,North Macedonia,345.4,(B) 968.6,998.7,1 177.2,1 014.8,(B) 999.4,1 323.8,825.3,493.0,497.4,519.1,(B) 906.2,967.1,729.1,(B) 971.5,1 040.9,1 014.0,985.2,863.8,849.0,895.8
36,Norway,(B) 106.7,108.6,96.7,(B) 88.4,85.2,76.4,68.7,59.7,54.1,60.8,56.7,48.4,48.6,49.6,53.8,69.3,74.1,72.5,65.1,73.0,93.2
37,Poland,(B) 876.8,772.6,753.8,735.8,(B) 738.9,640.8,628.9,556.2,466.2,588.9,600.6,562.2,612.5,636.2,(B) 616.2,727.8,798.2,807.8,781.8,797.1,898.1
38,Portugal,(B) 247.2,266.4,239.3,178.6,(B) 230.6,231.0,230.0,205.7,159.2,155.1,156.8,163.8,162.1,186.7,170.3,178.4,182.6,168.2,148.5,141.6,(P) 116.4
39,Romania,974.3,1 015.5,1 047.7,915.2,(B) 860.3,800.0,682.3,488.7,382.7,(B) 335.2,322.1,291.0,330.8,314.7,300.8,376.4,403.9,387.8,352.8,358.3,..
