,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,New Zealand,..,..,..,..,..,..,..,0.5,0.7,0.7,0.9,0.9,0.6,0.7,0.7,0.8,0.6,0.6,0.7,0.6,0.8
35,Norway,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.8,1.0,1.0,0.9,1.0,1.2,1.3,1.4,1.5,1.4,1.5,1.6,..
36,Poland,(B) 0.7,0.6,0.5,0.6,(B) 0.7,0.9,1.1,1.3,1.5,1.9,2.0,2.4,1.2,(B) 0.7,(B) 0.4,(B) 0.6,0.8,0.8,0.6,(B) 0.6,0.7
37,Portugal,(B) 1.1,1.5,(B) 1.5,1.5,1.6,1.6,1.4,1.0,1.0,(B) 0.8,1.1,..,0.2,0.2,..,..,..,..,..,..,..
38,Romania,1.9,2.1,1.7,1.9,2.2,2.0,2.3,2.7,3.2,3.0,2.7,3.0,2.6,2.2,2.0,2.3,1.7,1.3,1.2,..,..
39,Russian Federation,1.9,1.7,1.1,1.4,1.5,(B) 1.3,1.2,1.3,1.7,1.5,1.3,1.3,1.2,1.1,1.0,0.9,1.1,0.9,0.8,0.9,1.0
40,"Serbia, Republic of",(B) 0.7,0.6,0.9,0.9,1.0,0.9,1.5,1.4,1.2,0.9,0.8,1.0,0.8,0.8,1.0,1.7,1.7,1.5,1.3,(P) 1.7,..
41,Slovak Republic,0.9,1.1,1.3,(B) 0.7,0.7,1.0,1.1,1.3,1.1,(B) 1.3,0.9,1.0,0.7,0.9,1.1,1.8,1.1,1.2,1.2,..,1.0
42,Slovenia,2.1,1.4,1.5,1.9,2.0,1.7,1.9,2.1,2.1,1.3,1.0,0.6,0.5,0.7,1.1,(B) 1.3,0.6,0.7,1.1,1.1,0.9
43,Spain,1.0,1.1,1.4,1.4,1.4,1.5,(B) 1.5,1.5,1.6,1.7,1.4,1.3,1.0,0.7,0.7,0.6,0.5,0.5,0.5,(P) 0.5,(E) 0.6
44,Sweden,0.5,0.6,0.7,0.7,(B) 0.8,0.8,0.8,0.8,0.9,1.0,0.9,0.8,0.9,0.8,0.8,(B) 0.8,0.8,0.8,0.8,0.9,1.1
45,Switzerland,1.4,1.4,1.5,1.5,1.5,(B) 1.5,1.4,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.2,..
46,Turkey,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.9,1.1,1.1,0.9,1.2,1.1,1.3,1.2,1.0,..,..,..
47,United Kingdom,0.6,0.6,0.7,0.7,0.5,0.6,(B) 0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,(B) 0.9,0.9,0.9,0.9,0.9,..
48,United States,0.7,0.7,0.6,0.6,(B) 0.5,0.6,0.6,0.6,(B) 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,(B) 0.6,0.5,(B) 0.6,..
